指标代码,指标中文名,英文代码,单位,分类,参数,支持序列
17160,P/FFO,ths_p_ffo_fund,,业绩表现 / REITs估值,,是
17935,中债估值日期,ths_date_zzgz_reits_fund,,业绩表现 / REITs估值 / 中债REITs估值,,
17936,中债REITs估值,ths_zzgz_reits_fund,元/份,业绩表现 / REITs估值 / 中债REITs估值,,是
17937,中债REITs估值收益率,ths_zzgzsyl_reits_fund,%,业绩表现 / REITs估值 / 中债REITs估值,,是
15204,估值日期,ths_csi_reits_date_fund,,业绩表现 / REITs估值 / 中证REITs估值,,
15205,REITs估值,ths_csi_reits_price_fund,,业绩表现 / REITs估值 / 中证REITs估值,,是
15206,ABS估值,ths_csi_abs_value_fund,,业绩表现 / REITs估值 / 中证REITs估值,,是
15207,PV Ratio,ths_csi_pv_ratio_fund,,业绩表现 / REITs估值 / 中证REITs估值,,是
15208,ABS估值收益率,ths_csi_abs_yield_to_maturity_fund,%,业绩表现 / REITs估值 / 中证REITs估值,,是
15209,剩余期限,ths_csi_term_to_maturity_fund,年,业绩表现 / REITs估值 / 中证REITs估值,,是
17159,相对净值折溢价率,ths_premium_rate_to_nv_fund,%,业绩表现 / REITs估值 / 中证REITs估值,,是
00140,单位净值,ths_unit_nv_fund,元,业绩表现 / 净值指标,,是
00141,复权单位净值,ths_adjustment_nv_fund,元,业绩表现 / 净值指标,,是
00142,累计单位净值,ths_accum_unit_nv_fund,元,业绩表现 / 净值指标,,是
08469,净值日期,ths_nv_date_fund,,业绩表现 / 净值指标,,
10482,单位净值币种,ths_unit_nv_currency_fund,,业绩表现 / 净值指标,,
15278,单位净值(不前推),ths_unit_nvnf_fund,元,业绩表现 / 净值指标,,是
15279,基金净值复权因子,ths_adjustment_factor_fund,,业绩表现 / 净值指标,,是
15280,基金净值公布类型,ths_nv_type_fund,,业绩表现 / 净值指标,,
15456,基金近3年净值创新高的次数,ths_jjjsnjzcxgdcs_fund,,业绩表现 / 净值指标,,是
15457,基金近5年净值创新高的次数,ths_jjwnjzcxgdcs_fund,,业绩表现 / 净值指标,,是
17154,IOPV,ths_iopv_fund,%,业绩表现 / 净值指标,,是
17155,IOPV溢价率,ths_premium_iopv_fund,%,业绩表现 / 净值指标,,是
07459,最新净值日期,ths_latest_nv_date_sp,,业绩表现 / 净值指标 / 阳光私募净值指标,,
17030,复权单位净值(不前推),ths_fqdwjz_nvnf_ps,元,业绩表现 / 净值指标 / 阳光私募净值指标,,是
17031,累计单位净值(不前推),ths_ljdwjz_nvnf_ps,元,业绩表现 / 净值指标 / 阳光私募净值指标,,是
00143,复权单位净值增长,ths_adjustment_nvg_fund,元,业绩表现 / 区间收益,起始交易日期、截止交易日期,
00144,累计单位净值增长,ths_accum_unit_nv_grow_fund,元,业绩表现 / 区间收益,起始交易日期、截止交易日期,
00145,区间复权单位净值增长率,ths_adjustment_nvg_ratio_fund,%,业绩表现 / 区间收益,起始交易日期、截止交易日期、是否年化,
00146,复权单位净值相对大盘增长率,ths_adjustment_nvg_to_mkt_fund,%,业绩表现 / 区间收益,起始交易日期、截止交易日期、大盘指数选项,
00147,自成立日起复权单位净值增长率,ths_adjust_unit_nvg_since_founded_fund,%,业绩表现 / 区间收益,截止交易日期,是
04252,区间累计单位净值增长率,ths_accum_unitnvg_fund,%,业绩表现 / 区间收益,起始交易日期、截止交易日期,
05638,现金分红净值增长率,ths_cash_dividendnvg_fund,%,业绩表现 / 区间收益,起始交易日期、截止交易日期,
05641,区间最高单位净值,ths_high_unit_nv_int_fund,元,业绩表现 / 区间收益,起始交易日期、截止交易日期,
05642,区间最低单位净值,ths_low_unit_nv_int_fund,元,业绩表现 / 区间收益,起始交易日期、截止交易日期,
05643,区间最高复权单位净值,ths_high_adjustment_unit_nv_int_fund,元,业绩表现 / 区间收益,起始交易日期、截止交易日期,
05644,区间最低复权单位净值,ths_low_adjustment_unit_nv_int_fund,元,业绩表现 / 区间收益,起始交易日期、截止交易日期,
05645,区间最高累计单位净值,ths_high_accum_unit_nv_int_fund,元,业绩表现 / 区间收益,起始交易日期、截止交易日期,
05646,区间最低累计单位净值,ths_low_accum_unit_nv_int_fund,元,业绩表现 / 区间收益,起始交易日期、截止交易日期,
06520,区间净值超越基准增长率,ths_intervaloverbenchmarkgrowthrate_fund,%,业绩表现 / 区间收益,起始交易日期、截止交易日期,
06768,单位净值增长,ths_unit_nv_grow_fund,元,业绩表现 / 区间收益,起始交易日期、截止交易日期,
06769,区间单位净值增长率,ths_unit_nvg_fund,%,业绩表现 / 区间收益,起始交易日期、截止交易日期,
11431,区间净值超越基准收益频率,ths_interval_nv_over_by_frequency_fund,,业绩表现 / 区间收益,年度,
12172,单位净值增长率,ths_unit_nvg_rate_fund,%,业绩表现 / 区间收益,,是
12173,日收益率,ths_adjustment_nvg_rate_fund,%,业绩表现 / 区间收益,,是
12174,累计单位净值增长率,ths_accum_unitnvg_rate_fund,%,业绩表现 / 区间收益,,是
12299,近1周收益率,ths_yeild_1w_fund,%,业绩表现 / 区间收益,是否年化、计算规则,是
12300,近1月收益率,ths_yeild_1m_fund,%,业绩表现 / 区间收益,是否年化、计算规则,是
12301,近3月收益率,ths_yeild_3m_fund,%,业绩表现 / 区间收益,是否年化、计算规则,是
12302,近6月收益率,ths_yeild_6m_fund,%,业绩表现 / 区间收益,是否年化、计算规则,是
12303,近1年收益率,ths_yeild_1y_fund,%,业绩表现 / 区间收益,是否年化、计算规则,是
12304,近2年收益率,ths_yeild_2y_fund,%,业绩表现 / 区间收益,是否年化、计算规则,是
12305,近3年收益率,ths_yeild_3y_fund,%,业绩表现 / 区间收益,是否年化、计算规则,是
12306,近5年收益率,ths_yeild_5y_fund,%,业绩表现 / 区间收益,是否年化、计算规则,是
12307,近10年收益率,ths_yeild_10y_fund,%,业绩表现 / 区间收益,是否年化,是
12308,今年以来收益率,ths_yeild_ytd_fund,%,业绩表现 / 区间收益,是否年化、计算规则,是
12309,成立以来收益率,ths_yeild_std_fund,%,业绩表现 / 区间收益,是否年化、计算规则,是
15313,区间净值超越基准收益频率(百分比),ths_interval_nv_over_by_percent_fund,%,业绩表现 / 区间收益,年度,
15314,单月度收益率,ths_yeild_monthly_fund,%,业绩表现 / 区间收益,是否年化,是
15315,单季度收益率,ths_yeild_seasonly_fund,%,业绩表现 / 区间收益,是否年化,是
15316,单年度收益率,ths_yeild_yearly_fund,%,业绩表现 / 区间收益,是否年化,是
17063,区间最高单位净值日期,ths_date_qjzgdwjz_pension,,业绩表现 / 区间收益 / 养老金区间收益,起始交易日期、截止交易日期,
17064,区间最低单位净值日期,ths_date_qjzddwjz_pension,,业绩表现 / 区间收益 / 养老金区间收益,起始交易日期、截止交易日期,
17065,区间最高复权单位净值日期,ths_date_qjzgfqdwjz_pension,,业绩表现 / 区间收益 / 养老金区间收益,起始交易日期、截止交易日期,
17066,区间最低复权单位净值日期,ths_date_qjzdfqdwjz_pension,,业绩表现 / 区间收益 / 养老金区间收益,起始交易日期、截止交易日期,
17067,区间最高累计单位净值日期,ths_date_qjzgljdwjz_pension,,业绩表现 / 区间收益 / 养老金区间收益,起始交易日期、截止交易日期,
17068,区间最低累计单位净值日期,ths_date_qjzdljdwjz_pension,,业绩表现 / 区间收益 / 养老金区间收益,起始交易日期、截止交易日期,
09227,今年回报,ths_return_of_the_year_usf,%,业绩表现 / 区间收益 / 美国ETF区间收益,,是
12940,单月度收益率,ths_single_month_return_yhlc,%,业绩表现 / 区间收益 / 银行理财区间收益,是否年化,是
12941,单季度收益率,ths_single_quarter_return_yhlc,%,业绩表现 / 区间收益 / 银行理财区间收益,是否年化,是
12942,单年度收益率,ths_single_year_return_yhlc,%,业绩表现 / 区间收益 / 银行理财区间收益,是否年化,是
08875,复权单位净值增长率,ths_adjustment_nvg_ratio_hkf,%,业绩表现 / 区间收益 / 香港基金区间收益,起始交易日期、截止交易日期,
05666,同类基金区间收益排名(百分比),ths_similar_fund_int_rank_pct_fund,%,业绩表现 / 同类排名,起始交易日期、截止交易日期、基金分类,
11578,同类基金区间四分位排名,ths_same_type_fund_quart_rank_fund,,业绩表现 / 同类排名,起始交易日期、截止交易日期、基金分类,
15354,同类基金区间收益排名P值,ths_similar_fund_int_rank_pvalue_fund,%,业绩表现 / 同类排名,起始交易日期、截止交易日期、基金分类,
15355,单月度收益排名,ths_similar_int_rank_yeild_monthly_fund,,业绩表现 / 同类排名,基金分类,
15356,单季度收益排名,ths_similar_int_rank_yeild_seasonly_fund,,业绩表现 / 同类排名,基金分类,
15357,单年度收益排名,ths_similar_int_rank_yeild_yearly_fund,,业绩表现 / 同类排名,基金分类,
12943,单月度收益排名,ths_single_month_return_ranking_obcm,,业绩表现 / 同类排名 / 其他理财同类排名,产品类型,
12944,单季度收益排名,ths_single_quarter_return_ranking_obcm,,业绩表现 / 同类排名 / 其他理财同类排名,产品类型,
12945,单年度收益排名,ths_single_year_return_ranking_obcm,,业绩表现 / 同类排名 / 其他理财同类排名,产品类型,
16532,近1周收益排名,ths_yeild_rank_1w_obcm,,业绩表现 / 同类排名 / 其他理财同类排名,截止交易日、产品类型,
16533,近1月收益排名,ths_yeild_rank_1m_obcm,,业绩表现 / 同类排名 / 其他理财同类排名,截止交易日、产品类型,
16534,近3月收益排名,ths_yeild_rank_3m_obcm,,业绩表现 / 同类排名 / 其他理财同类排名,截止交易日、产品类型,
16535,近6月收益排名,ths_yeild_rank_6m_obcm,,业绩表现 / 同类排名 / 其他理财同类排名,截止交易日、产品类型,
16536,近1年收益排名,ths_yeild_rank_1y_obcm,,业绩表现 / 同类排名 / 其他理财同类排名,截止交易日、产品类型,
16537,近2年收益排名,ths_yeild_rank_2y_obcm,,业绩表现 / 同类排名 / 其他理财同类排名,截止交易日、产品类型,
16538,近3年收益排名,ths_yeild_rank_3y_obcm,,业绩表现 / 同类排名 / 其他理财同类排名,截止交易日、产品类型,
16539,近5年收益排名,ths_yeild_rank_5y_obcm,,业绩表现 / 同类排名 / 其他理财同类排名,截止交易日、产品类型,
16540,近10年收益排名,ths_yeild_rank_10y_obcm,,业绩表现 / 同类排名 / 其他理财同类排名,截止交易日、产品类型,
16541,今年以来收益排名,ths_yeild_rank_ytd_obcm,,业绩表现 / 同类排名 / 其他理财同类排名,截止交易日、产品类型,
16542,成立以来收益排名,ths_yeild_rank_std_obcm,,业绩表现 / 同类排名 / 其他理财同类排名,截止交易日、产品类型,
16606,同类基金区间平均收益率,ths_tljjqjpjsy_obcm,%,业绩表现 / 同类排名 / 其他理财同类排名,起始交易日期、截止交易日期、产品类型,
16607,同类基金区间收益排名,ths_tljjqjsypm_obcm,,业绩表现 / 同类排名 / 其他理财同类排名,起始交易日期、截止交易日期、产品类型,
16989,同类基金区间平均收益率,ths_tljjqjpjsy_pension,%,业绩表现 / 同类排名 / 养老金同类排名,起始交易日期、截止交易日期、产品类型,
16990,同类基金区间收益排名,ths_tljjqjsypm_pension,,业绩表现 / 同类排名 / 养老金同类排名,起始交易日期、截止交易日期、产品类型,
16991,近1周收益排名,ths_yeild_rank_1w_pension,,业绩表现 / 同类排名 / 养老金同类排名,截止交易日、产品类型,
16992,近1月收益排名,ths_yeild_rank_1m_pension,,业绩表现 / 同类排名 / 养老金同类排名,截止交易日、产品类型,
16993,近3月收益排名,ths_yeild_rank_3m_pension,,业绩表现 / 同类排名 / 养老金同类排名,截止交易日、产品类型,
16994,近6月收益排名,ths_yeild_rank_6m_pension,,业绩表现 / 同类排名 / 养老金同类排名,截止交易日、产品类型,
16995,近1年收益排名,ths_yeild_rank_1y_pension,,业绩表现 / 同类排名 / 养老金同类排名,截止交易日、产品类型,
16996,近2年收益排名,ths_yeild_rank_2y_pension,,业绩表现 / 同类排名 / 养老金同类排名,截止交易日、产品类型,
16997,近3年收益排名,ths_yeild_rank_3y_pension,,业绩表现 / 同类排名 / 养老金同类排名,截止交易日、产品类型,
16998,近5年收益排名,ths_yeild_rank_5y_pension,,业绩表现 / 同类排名 / 养老金同类排名,截止交易日、产品类型,
16999,近10年收益排名,ths_yeild_rank_10y_pension,,业绩表现 / 同类排名 / 养老金同类排名,截止交易日、产品类型,
17000,今年以来收益排名,ths_yeild_rank_ytd_pension,,业绩表现 / 同类排名 / 养老金同类排名,截止交易日、产品类型,
17002,单月度收益排名,ths_single_month_return_ranking_pension,,业绩表现 / 同类排名 / 养老金同类排名,产品类型,
17003,单季度收益排名,ths_single_quarter_return_ranking_pension,,业绩表现 / 同类排名 / 养老金同类排名,产品类型,
17004,单年度收益排名,ths_single_year_return_ranking_pension,,业绩表现 / 同类排名 / 养老金同类排名,产品类型,
05202,同类产品区间平均收益,ths_similar_product_int_avg_income_bcm,元,业绩表现 / 同类排名 / 券商集合理财同类排名,起始交易日期、截止交易日期、产品分类,
05203,同类产品区间收益排名,ths_similar_product_int_rank_bcm,,业绩表现 / 同类排名 / 券商集合理财同类排名,起始交易日期、截止交易日期、产品分类,
05969,同类产品区间收益排名,ths_similar_product_int_rank_sp,,业绩表现 / 同类排名 / 阳光私募同类排名,起始交易日期、截止交易日期,
09228,货币单位,ths_currency_unit_usf,,业绩表现 / 美国ETF估值,,
09229,溢价,ths_premium_usf,元,业绩表现 / 美国ETF估值,,是
09231,股息,ths_dividend_usf,元,业绩表现 / 美国ETF估值,,是
09232,股息率,ths_dividend_rate_usf,%,业绩表现 / 美国ETF估值,,是
09240,开支比率,ths_expense_ratio_usf,%,业绩表现 / 美国ETF估值,,是
19937,年化派息率,ths_fund_nhpxl_fund,%,中国基金指标 / 业绩表现 / REITs估值,,是
20174,P/FFO,ths_pffo_fund,,中国基金指标 / 业绩表现 / REITs估值,,是
20175,派息率TTM,ths_dividend_payout_ratio_ttm_fund,%,中国基金指标 / 业绩表现 / REITs估值,,是
20176,股息率TTM,ths_dividend_yield_ttm_ex_sd_fund,%,中国基金指标 / 业绩表现 / REITs估值,,是
20117,净值披露首日,ths_first_nv_date_fund,,中国基金指标 / 业绩表现 / 净值指标,,
06519,区间业绩基准增长率,ths_intervalbenchmarkgrowthrate_fund,%,中国基金指标 / 业绩表现 / 区间收益,起始交易日期、截止交易日期,
20112,区间净值超越基准年化收益率,ths_qjjzcyjznhsyl_fund,%,中国基金指标 / 业绩表现 / 区间收益,起始交易日期、截止交易日期,
33401,区间最高单位净值日,ths_date_qjzgdwjz_fund,,中国基金指标 / 业绩表现 / 区间收益,起始交易日期、截止交易日期,
33402,区间最低单位净值日,ths_date_qjzddwjz_fund,,中国基金指标 / 业绩表现 / 区间收益,起始交易日期、截止交易日期,
33403,区间最高复权单位净值日,ths_date_qjzgfqdwjz_fund,,中国基金指标 / 业绩表现 / 区间收益,起始交易日期、截止交易日期,
33404,区间最低复权单位净值日,ths_date_qjzdfqdwjz_fund,,中国基金指标 / 业绩表现 / 区间收益,起始交易日期、截止交易日期,
33405,区间最高累计单位净值日,ths_date_qjzgljdwjz_fund,,中国基金指标 / 业绩表现 / 区间收益,起始交易日期、截止交易日期,
33406,区间最低累计单位净值日,ths_date_qjzdljdwjz_fund,,中国基金指标 / 业绩表现 / 区间收益,起始交易日期、截止交易日期,
33835,近2周收益率,ths_yeild_2w_fund,%,中国基金指标 / 业绩表现 / 区间收益,是否年化,是
33836,近20年收益率,ths_yeild_20y_fund,%,中国基金指标 / 业绩表现 / 区间收益,是否年化,是
33837,近30年收益率,ths_yeild_30y_fund,%,中国基金指标 / 业绩表现 / 区间收益,是否年化,是
33874,今年以来收益率,ths_ytd_yeild_fund,%,中国基金指标 / 业绩表现 / 区间收益,是否年化、计算规则、是否统计年初后成立基金,是
05639,同类基金区间平均收益率,ths_similar_fund_int_avg_yield_fund,%,中国基金指标 / 业绩表现 / 同类排名,起始交易日期、截止交易日期、基金分类,
05640,同类基金区间收益排名,ths_similar_fund_int_income_rank_fund,,中国基金指标 / 业绩表现 / 同类排名,起始交易日期、截止交易日期、基金分类,
12344,近1周收益排名,ths_yeild_rank_1w_fund,,中国基金指标 / 业绩表现 / 同类排名,截止交易日、基金分类,
12345,近1月收益排名,ths_yeild_rank_1m_fund,,中国基金指标 / 业绩表现 / 同类排名,截止交易日、基金分类,
12346,近3月收益排名,ths_yeild_rank_3m_fund,,中国基金指标 / 业绩表现 / 同类排名,截止交易日、基金分类,
12347,近6月收益排名,ths_yeild_rank_6m_fund,,中国基金指标 / 业绩表现 / 同类排名,截止交易日、基金分类,
12348,近1年收益排名,ths_yeild_rank_1y_fund,,中国基金指标 / 业绩表现 / 同类排名,截止交易日、基金分类,
12349,近2年收益排名,ths_yeild_rank_2y_fund,,中国基金指标 / 业绩表现 / 同类排名,截止交易日、基金分类,
12350,近3年收益排名,ths_yeild_rank_3y_fund,,中国基金指标 / 业绩表现 / 同类排名,截止交易日、基金分类,
12351,近5年收益排名,ths_yeild_rank_5y_fund,,中国基金指标 / 业绩表现 / 同类排名,截止交易日、基金分类,
12352,近10年收益排名,ths_yeild_rank_10y_fund,,中国基金指标 / 业绩表现 / 同类排名,截止交易日、基金分类,
12353,今年以来收益排名,ths_yeild_rank_ytd_fund,,中国基金指标 / 业绩表现 / 同类排名,截止交易日、基金分类、是否纳入年初后成立基金,
12354,成立以来收益排名,ths_yeild_rank_std_fund,,中国基金指标 / 业绩表现 / 同类排名,截止交易日、基金分类,
19724,同类基金成立以来平均收益率,ths_similar_fund_std_avg_yield_fund,%,中国基金指标 / 业绩表现 / 同类排名,基金分类,是
19871,同类基金区间平均收益率(银行理财),ths_similar_fund_int_avg_yield_yhlc,%,中国基金指标 / 业绩表现 / 同类排名 / 银行理财同类排名,起始交易日期、截止交易日期、产品类型,
19872,同类基金区间收益排名(银行理财),ths_similar_fund_int_income_rank_yhlc,,中国基金指标 / 业绩表现 / 同类排名 / 银行理财同类排名,起始交易日期、截止交易日期、产品类型,
19873,同类基金区间收益排名P值(银行理财),ths_similar_fund_int_rank_pvalue_yhlc,%,中国基金指标 / 业绩表现 / 同类排名 / 银行理财同类排名,起始交易日期、截止交易日期、产品类型,
19874,同类基金区间收益排名(百分比)(银行理财),ths_similar_fund_int_rank_pct_yhlc,%,中国基金指标 / 业绩表现 / 同类排名 / 银行理财同类排名,起始交易日期、截止交易日期、产品类型,
19875,同类基金区间四分位排名(银行理财),ths_same_type_fund_quart_rank_yhlc,,中国基金指标 / 业绩表现 / 同类排名 / 银行理财同类排名,起始交易日期、截止交易日期、产品类型,
19876,近1周收益排名(银行理财),ths_yeild_rank_1w_yhlc,,中国基金指标 / 业绩表现 / 同类排名 / 银行理财同类排名,截止交易日、产品类型,
19877,近1月收益排名(银行理财),ths_yeild_rank_1m_yhlc,,中国基金指标 / 业绩表现 / 同类排名 / 银行理财同类排名,截止交易日、产品类型,
19878,近3月收益排名(银行理财),ths_yeild_rank_3m_yhlc,,中国基金指标 / 业绩表现 / 同类排名 / 银行理财同类排名,截止交易日、产品类型,
19879,近6月收益排名(银行理财),ths_yeild_rank_6m_yhlc,,中国基金指标 / 业绩表现 / 同类排名 / 银行理财同类排名,截止交易日、产品类型,
19880,近1年收益排名(银行理财),ths_yeild_rank_1y_yhlc,,中国基金指标 / 业绩表现 / 同类排名 / 银行理财同类排名,截止交易日、产品类型,
19881,近2年收益排名(银行理财),ths_yeild_rank_2y_yhlc,,中国基金指标 / 业绩表现 / 同类排名 / 银行理财同类排名,截止交易日、产品类型,
19882,近3年收益排名(银行理财),ths_yeild_rank_3y_yhlc,,中国基金指标 / 业绩表现 / 同类排名 / 银行理财同类排名,截止交易日、产品类型,
19883,近5年收益排名(银行理财),ths_yeild_rank_5y_yhlc,,中国基金指标 / 业绩表现 / 同类排名 / 银行理财同类排名,截止交易日、产品类型,
19884,近10年收益排名(银行理财),ths_yeild_rank_10y_yhlc,,中国基金指标 / 业绩表现 / 同类排名 / 银行理财同类排名,截止交易日、产品类型,
19885,今年以来收益排名(银行理财),ths_yeild_rank_ytd_yhlc,,中国基金指标 / 业绩表现 / 同类排名 / 银行理财同类排名,截止交易日、产品类型,
19886,单月度收益排名(银行理财),ths_similar_int_rank_yeild_monthly_yhlc,,中国基金指标 / 业绩表现 / 同类排名 / 银行理财同类排名,截止交易日、产品类型,
19887,单季度收益排名(银行理财),ths_similar_int_rank_yeild_seasonly_yhlc,,中国基金指标 / 业绩表现 / 同类排名 / 银行理财同类排名,截止交易日、产品类型,
19888,单年度收益排名(银行理财),ths_similar_int_rank_yeild_yearly_yhlc,,中国基金指标 / 业绩表现 / 同类排名 / 银行理财同类排名,截止交易日、产品类型,
00148,报告期净值增长率,ths_nvg_rp_fund,%,中国基金指标 / 业绩表现 / 报告期净值表现,报告期净值数据项,是
00149,报告期净值增长率标准差,ths_nvg_standard_variance_rp_fund,%,中国基金指标 / 业绩表现 / 报告期净值表现,报告期净值数据项,是
00150,报告期业绩比较基准增长率,ths_pcb_growth_rp_fund,%,中国基金指标 / 业绩表现 / 报告期净值表现,报告期净值数据项,是
00151,报告期业绩比较基准增长率标准差,ths_pcb_growth_sv_rp_fund,%,中国基金指标 / 业绩表现 / 报告期净值表现,报告期净值数据项,是
00152,报告期净值增长率减基准增长率,ths_nvgminus_benchmark_growth_rp_fund,%,中国基金指标 / 业绩表现 / 报告期净值表现,报告期净值数据项,是
00153,报告期净值增长率标准差减基准标准差,ths_nvg_sv_minus_bsv_rp_fund,%,中国基金指标 / 业绩表现 / 报告期净值表现,报告期净值数据项,是
19938,分红条款,ths_fund_fhtk_fund,,中国基金指标 / 分红指标,,
20229,公司最新成立基金,ths_fundco_nfo_fund,,中国基金指标 / 发行指标,,
19935,原始权益人或其同一控制下关联方配售份额,ths_fund_ysqyrhglf_psfe_fund,份,中国基金指标 / 基本资料 / REITs基本资料,发行类型,是
19936,原始权益人或其同一控制下关联方配售份额占本次基金份额发售比例,ths_fund_ysqyrhglf_psfezb_fund,%,中国基金指标 / 基本资料 / REITs基本资料,发行类型,是
13659,Treynor(基金公司指数),ths_treynor_gp_fund,,中国基金指标 / 基本资料 / 基金公司 / 基金公司指数,起始交易日期、截止交易日期、所属指数、计算周期、收益率计算方法、无风险收益率、标的指数,
13660,Alpha(基金公司指数),ths_alpha_gp_fund,,中国基金指标 / 基本资料 / 基金公司 / 基金公司指数,起始交易日期、截止交易日期、所属指数、计算周期、收益率计算方法、标的指数,
13661,Beta(基金公司指数),ths_beta_gp_fund,,中国基金指标 / 基本资料 / 基金公司 / 基金公司指数,起始交易日期、截止交易日期、所属指数、计算周期、收益率计算方法、标的指数,
13248,基金管理人报告期净申购占期初份额比,ths_fs_net_pur_to_begin_rp_fund,%,中国基金指标 / 基本资料 / 基金公司 / 管理规模,年度,是
19512,基金管理人单季度净申购占期初份额比,ths_fs_sq_net_pur_to_begin_fund,%,中国基金指标 / 基本资料 / 基金公司 / 管理规模,年度,是
20339,是否T+0,ths_hzjy_fund,,中国基金指标 / 基本资料 / 基金分类,,
33563,投资类型(三级分类),ths_tzlxsjfl_fund,,中国基金指标 / 基本资料 / 基金分类,,
00001,基金简称(官方),ths_fund_official_short_name_fund,,中国基金指标 / 基本资料 / 基金概况,,
08673,投资策略,ths_invest_strategy_fund,,中国基金指标 / 基本资料 / 基金概况,,
08969,交易币种,ths_fund_td_currency_fund,,中国基金指标 / 基本资料 / 基金概况,,
15418,基金简称,ths_fund_short_name_fund,,中国基金指标 / 基本资料 / 基金概况,,
15428,封闭运作期,ths_closed_period_fund,,中国基金指标 / 基本资料 / 基金概况,,是
19927,流通市值,ths_current_mv_fund,元,中国基金指标 / 基本资料 / 基金概况,,是
19939,批复文号,ths_fund_pfwh_fund,,中国基金指标 / 基本资料 / 基金概况,,
20099,投资品种比例限制,ths_invest_category_limit_fund,%,中国基金指标 / 基本资料 / 基金概况,投资品种类型,
20108,申购状态,ths_pur_status_fund,,中国基金指标 / 基本资料 / 基金概况,,
20109,赎回状态,ths_redemp_status_fund,,中国基金指标 / 基本资料 / 基金概况,,
20115,基金经理(成立),ths_fund_manager_ establish_fund,,中国基金指标 / 基本资料 / 基金概况,,
20239,基金主代码(官方),ths_fund_official_primary_code_fund,,中国基金指标 / 基本资料 / 基金概况,,
20039,任职起始日,ths_service_start_fund,,中国基金指标 / 基本资料 / 基金经理 / 基本资料,任职状态、任职年化回报排名、是否显示经理名称,
13107,Alpha(基金经理指数),ths_alpha_human_fund,,中国基金指标 / 基本资料 / 基金经理 / 基金经理指数,起始交易日期、截止交易日期、所属指数、计算周期、收益率计算方法、标的指数、任职状态、任职年化回报排名、是否显示经理名称,
13108,Beta(基金经理指数),ths_beta_human_fund,,中国基金指标 / 基本资料 / 基金经理 / 基金经理指数,起始交易日期、截止交易日期、所属指数、计算周期、收益率计算方法、标的指数、任职状态、任职年化回报排名、是否显示经理名称,
13109,Treynor(基金经理指数),ths_treynor_human_fund,,中国基金指标 / 基本资料 / 基金经理 / 基金经理指数,起始交易日期、截止交易日期、所属指数、计算周期、收益率计算方法、无风险收益率、标的指数、任职状态、任职年化回报排名、是否显示经理名称,
13110,信息比率(基金经理指数),ths_ir_human_fund,,中国基金指标 / 基本资料 / 基金经理 / 基金经理指数,起始交易日期、截止交易日期、所属指数、计算周期、收益率计算方法、标的指数、任职状态、任职年化回报排名、是否显示经理名称,
13111,选股能力(基金经理指数),ths_sec_sel_human_fund,,中国基金指标 / 基本资料 / 基金经理 / 基金经理指数,起始交易日期、截止交易日期、所属指数、计算周期、收益率计算方法、无风险收益率、标的指数、任职状态、任职年化回报排名、是否显示经理名称,
13112,择时能力（基金经理指数）,ths_time_sel_human_fund,,中国基金指标 / 基本资料 / 基金经理 / 基金经理指数,起始交易日期、截止交易日期、所属指数、计算周期、收益率计算方法、无风险收益率、标的指数、任职状态、任职年化回报排名、是否显示经理名称,
13113,区间胜率（基金经理指数）,ths_qjsl_human_fund,%,中国基金指标 / 基本资料 / 基金经理 / 基金经理指数,起始交易日期、截止交易日期、所属指数、计算周期、标的指数、任职状态、任职年化回报排名、是否显示经理名称,
15448,浮动管理费率说明,ths_floating_managementfeeexplain_fund,,中国基金指标 / 基本资料 / 基金费率,,
20163,托管费率(支持历史),ths_historical_custody _fee_rate_fund,,中国基金指标 / 基本资料 / 基金费率,,
20164,管理费率(支持历史),ths_historical_manage_fee_rate_fund,,中国基金指标 / 基本资料 / 基金费率,,
20165,销售服务费率(支持历史),ths_historical_sales_service_fee_rate_fund,,中国基金指标 / 基本资料 / 基金费率,,
15432,做市商,ths_marketmaker_fund,,中国基金指标 / 基本资料 / 相关机构,,
20218,基金管理人(全称),ths_fund_supervisor_fullname_fund,,中国基金指标 / 基本资料 / 相关机构,,
20219,基金托管人(全称),ths_fund_mandator_fullname_fund,,中国基金指标 / 基本资料 / 相关机构,,
20217,互认基金批复日期,ths_fund_hrjjpfrq_fund,,中国基金指标 / 基本资料 / 重要日期,,
12937,募集方式,ths_raise_way_yhlc,,中国基金指标 / 基本资料 / 银行理财基本资料,,
19850,是否开放式,ths_sfkfs_yhlc,,中国基金指标 / 基本资料 / 银行理财基本资料,,
19851,到期收益率(收录),ths_dqsyl_sl_yhlc,%,中国基金指标 / 基本资料 / 银行理财基本资料,,是
19866,业绩比较基准上限,ths_upperbenchmark_yhlc,%,中国基金指标 / 基本资料 / 银行理财基本资料,,是
19867,业绩比较基准下限,ths_lowerbenchmark_yhlc,%,中国基金指标 / 基本资料 / 银行理财基本资料,,是
19868,银行理财风险等级（银行）,ths_lcrisklevel_yhlc,,中国基金指标 / 基本资料 / 银行理财基本资料,,
19869,银行理财风险等级（同花顺）,ths_lcrisklevelths_yhlc,,中国基金指标 / 基本资料 / 银行理财基本资料,,
19912,是否保本,ths_guaranteedornot_yhlc,,中国基金指标 / 基本资料 / 银行理财基本资料,,
19913,运作模式,ths_operationtype_yhlc,,中国基金指标 / 基本资料 / 银行理财基本资料,,
